id,x,y,size,frame,track,ignore,track_fixed
1,629.3838821490468,882.4783362218371,1154,1,1,FALSE,1
2,1056.1691729323309,656.5206766917294,1064,1,2,FALSE,2
3,508.009236453202,375.2450738916256,1624,1,3,FALSE,3
4,1277.6465696465696,373.74913374913376,1443,1,4,FALSE,4
5,1379.2844164919636,343.08525506638716,1431,1,5,FALSE,5
6,1137.1377744133233,174.5109765329296,1321,1,6,FALSE,6
7,737.1930937279775,115.93939393939394,1419,1,7,FALSE,7
8,921.8633791430881,103.35084882780922,1237,1,8,FALSE,8
1,629.4024390243902,882.4128919860627,1148,2,1,FALSE,1
2,1056.1704119850187,656.4691011235955,1068,2,2,FALSE,2
3,507.7800245098039,375.140931372549,1632,2,3,FALSE,3
4,1276.2947735191638,364.86341463414635,1435,2,4,FALSE,4
5,1379.338631651693,342.4270905321355,1447,2,5,FALSE,5
6,1120.1031807602792,174.37781225756402,1289,2,6,FALSE,6
7,736.6819141449683,116.94018296973962,1421,2,7,FALSE,7
8,934.2269789983845,105.45072697899839,1238,2,8,FALSE,8
1,629.4155052264808,882.4024390243902,1148,3,1,FALSE,1
2,1056.153127917834,656.5415499533146,1071,3,2,FALSE,2
3,507.7883076923077,375.2406153846154,1625,3,3,FALSE,3
4,1275.4825222755312,350.21247429746404,1459,3,4,FALSE,4
5,1379.6476323119778,341.84052924791087,1436,3,5,FALSE,5
6,1098.233082706767,169.8112781954887,1330,3,6,FALSE,6
7,733.3120973514674,118.89906943450251,1397,3,7,FALSE,7
8,948.2983023443816,106.5610347615198,1237,3,8,FALSE,8
1,629.4562937062936,882.3068181818181,1144,4,1,FALSE,1
2,1056.1618334892423,656.4901777362021,1069,4,2,FALSE,2
3,507.7950769230769,375.2713846153846,1625,4,3,FALSE,3
4,1379.517507002801,340.6232492997199,1428,4,5,FALSE,5
5,1272.5784044016507,337.2854195323246,1454,4,4,FALSE,4
6,1082.209763539283,157.54767353165522,1311,4,6,FALSE,6
7,729.7391304347826,122.63154016212233,1357,4,7,FALSE,7
8,968.6550580431177,104.71475953565506,1206,4,8,FALSE,8
1,629.4873362445414,882.2917030567686,1145,5,1,FALSE,1
2,1056.169634489222,656.4423617619494,1067,5,2,FALSE,2
3,507.8331288343558,375.2858895705522,1630,5,3,FALSE,3
4,1379.6664340544312,339.7606420097697,1433,5,5,FALSE,5
5,1270.9559132260322,319.17914625612315,1429,5,4,FALSE,4
6,1066.5612952968388,150.27293754818814,1297,5,6,FALSE,6
7,725.8039940828403,123.7233727810651,1352,5,7,FALSE,7
8,980.126359832636,107.8702928870293,1195,5,8,FALSE,8
1,629.457242582897,882.2783595113438,1146,6,1,FALSE,1
2,1056.1535580524344,656.4709737827716,1068,6,2,FALSE,2
3,507.7713414634146,375.3518292682927,1640,6,3,FALSE,3
4,1379.9875604699378,339.1354526606773,1447,6,5,FALSE,5
5,1275.0779036827196,294.3250708215297,1412,6,4,FALSE,4
7,721.5271936185642,125.464829586657,1379,6,7,FALSE,7
1,629.416083916084,882.2727272727273,1144,7,1,FALSE,1
2,1056.1750936329588,656.4569288389513,1068,7,2,FALSE,2
3,507.735401459854,375.5103406326034,1644,7,3,FALSE,3
4,1379.2987465181059,338.31058495821725,1436,7,5,FALSE,5
5,1268.4776657060518,277.2334293948127,1388,7,4,FALSE,4
7,721.2237860661506,130.19985925404646,1421,7,7,FALSE,7
1,629.4391951006124,882.2239720034995,1143,8,1,FALSE,1
2,1056.1649484536083,656.5295220243673,1067,8,2,FALSE,2
3,507.7150701647346,375.65527760829775,1639,8,3,FALSE,3
4,1379.3326359832636,337.870990237099,1434,8,5,FALSE,5
5,1258.256227758007,261.7494661921708,1405,8,4,FALSE,4
6,722.1361437456807,133.94609536973047,1447,8,7,FALSE,7
7,1064.125,136.375,1320,8,6,FALSE,6
8,987.400481540931,106.30577849117175,1246,8,8,FALSE,8
1,629.408931698774,882.1900175131349,1142,9,1,FALSE,1
2,1056.1663533834587,656.5451127819549,1064,9,2,FALSE,2
3,507.71350030543675,375.7373243738546,1637,9,3,FALSE,3
4,1378.0694927032662,336.3335649756776,1439,9,5,FALSE,5
5,1253.3971631205675,232.95106382978724,1410,9,4,FALSE,4
6,724.81875,138.30694444444444,1440,9,7,FALSE,7
7,1064.525804038893,132.38369483919223,1337,9,6,FALSE,6
8,987.3825180433039,105.79871692060946,1247,9,8,FALSE,8
1,629.3868677905945,881.941437444543,1127,10,1,FALSE,1
2,1056.1567516525024,656.6203966005666,1059,10,2,FALSE,2
3,507.59149722735674,375.7566235366605,1623,10,3,FALSE,3
4,1377.2683438155136,335.4751921733054,1431,10,5,FALSE,5
5,1242.166907514451,224.91546242774567,1384,10,4,FALSE,4
6,726.036853295535,141.11622962437988,1411,10,7,FALSE,7
7,1065.7397157816006,127.2677636499626,1337,10,6,FALSE,6
8,986.955680902498,105.97018533440773,1241,10,8,FALSE,8
1,629.3056537102474,881.8904593639576,1132,11,1,FALSE,1
2,1056.1567516525024,656.6203966005666,1059,11,2,FALSE,2
3,507.55822550831795,375.63832409118913,1623,11,3,FALSE,3
4,1377.725138121547,335.4868784530387,1448,11,5,FALSE,5
5,1226.9087669280113,215.00855310049894,1403,11,4,FALSE,4
6,732.4346549192364,145.01908957415566,1362,11,7,FALSE,7
7,1070.2004454342984,122.98218262806236,1347,11,6,FALSE,6
8,984.5887550200803,106.86345381526104,1245,11,8,FALSE,8
1,629.2873563218391,881.8603006189213,1131,12,1,FALSE,1
2,1056.1654064272211,656.5992438563327,1058,12,2,FALSE,2
